term,left_bin,left_perc,right_bin,right_perc
trump strategist steve,1.0,0.001,0.0,0.0
trump sorts hashtag,1.0,0.001,0.0,0.0
trump scrutiny allegations,1.0,0.001,0.0,0.0
trump retweeted hashtag,1.0,0.001,0.0,0.0
trump referring dna,1.0,0.001,0.0,0.0
trump participates partners,1.0,0.001,0.0,0.0
trump modeling colonialist,1.0,0.001,0.0,0.0
trump mocked revived,1.0,0.001,0.0,0.0
trump melania trump,1.0,0.001,0.0,0.0
trump kim jong,1.0,0.001,0.0,0.0
trump jokes awards,1.0,0.001,0.0,0.0
trump jared kushner,1.0,0.001,0.0,0.0
trump harassment aims,1.0,0.001,0.0,0.0
trump daca recipients,1.0,0.001,0.0,0.0
trump confronting grievances,1.0,0.001,0.0,0.0
trump cared conservative,1.0,0.001,0.0,0.0
trump campaign education,1.0,0.001,0.0,0.0
trump campaign adviser,1.0,0.001,0.0,0.0
trump axios loathes,1.0,0.001,0.0,0.0
trump assault allegations,1.0,0.001,0.0,0.0
trump america protectionist,1.0,0.001,0.0,0.0
trump adds jab,1.0,0.001,0.0,0.0
trolls twitter weaponizing,1.0,0.001,0.0,0.0
trms intelligence transcript,1.0,0.001,0.0,0.0
triggers revolt park,1.0,0.001,0.0,0.0
triggered harassment spanned,1.0,0.001,0.0,0.0
trickled classrooms ceos,1.0,0.001,0.0,0.0
tribune editors therapists,1.0,0.001,0.0,0.0
tribe calina lawrence,1.0,0.001,0.0,0.0
trevor noah hillary,1.0,0.001,0.0,0.0
trepidation emotional kavanaugh's,1.0,0.001,1.0,0.001
trebek producers embrace,1.0,0.001,0.0,0.0
treats vulnerable guise,1.0,0.001,0.0,0.0
travers unsane delivers,1.0,0.001,0.0,0.0
tratos empleados dar,1.0,0.001,0.0,0.0
trappings fearless activist,1.0,0.001,0.0,0.0
translation arabic africa,1.0,0.001,0.0,0.0
translate frustratingly unwilling,1.0,0.001,0.0,0.0
transgender non-binary award-winning,1.0,0.001,0.0,0.0
transforms women's empowerment,1.0,0.001,0.0,0.0
transforming nomination polarization,1.0,0.001,0.0,0.0
transforming metoo time's,1.0,0.001,0.0,0.0
transforming declaring impervious,1.0,0.001,0.0,0.0
transcript commissioned infamous,1.0,0.001,0.0,0.0
trans actress mcgowan,1.0,0.001,0.0,0.0
trajectory campaign demonstrates,1.0,0.001,0.0,0.0
traister's women's scrutinizes,1.0,0.001,0.0,0.0
traister reminds metoo,1.0,0.001,0.0,0.0
traditionally rescind honorary,1.0,0.001,0.0,0.0
traditionally harassment-permissive adopt,1.0,0.001,0.0,0.0
traction sustained traction,1.0,0.001,0.0,0.0
traction affleck's ceremony,1.0,0.001,0.0,0.0
traction activist focuses,1.0,0.001,0.0,0.0
tracking victims kits,1.0,0.001,0.0,0.0
touting accusers lawsuit,1.0,0.001,0.0,0.0
toulouse comédie rassemblement,1.0,0.001,0.0,0.0
touchée alors ça,1.0,0.001,0.0,0.0
totenberg ginsburg calling,1.0,0.001,0.0,0.0
totenberg backlash ginsburg,1.0,0.001,0.0,0.0
toss dna kit,1.0,0.001,0.0,0.0
torture surveillance perjured,1.0,0.001,0.0,0.0
toronto's aims online,1.0,0.001,0.0,0.0
